,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
0,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,26 Jun 2008,Dividend - Rs. - 4.5000,-,28 Jun 2008,23 Jul 2008,23 Jun 2008,26 Jun 2008,-
1,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,02 Jul 2009,Dividend - Rs. - 5.5000,-,04 Jul 2009,27 Jul 2009,29 Jun 2009,02 Jul 2009,-
2,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,30 Jun 2010,Dividend - Rs. - 7.5000,-,03 Jul 2010,23 Jul 2010,25 Jun 2010,01 Jul 2010,-
3,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,07 Jul 2011,Dividend - Rs. - 10.0000,-,09 Jul 2011,29 Jul 2011,04 Jul 2011,07 Jul 2011,-
4,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,05 Jul 2012,Dividend - Rs. - 14.0000,-,07 Jul 2012,27 Jul 2012,29 Jun 2012,05 Jul 2012,-
5,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,15 Feb 2013,Stock  Split From Rs.10/- to Rs.2/-,18 Feb 2013,-,-,11 Feb 2013,14 Feb 2013,-
6,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,04 Jul 2013,Dividend - Rs. - 3.4000,-,06 Jul 2013,25 Jul 2013,28 Jun 2013,04 Jul 2013,02 Aug 2013
7,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,04 Jul 2013,Special Dividend - Rs. - 0.2000,-,06 Jul 2013,25 Jul 2013,28 Jun 2013,04 Jul 2013,02 Aug 2013
8,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,03 Jul 2014,Dividend - Rs. - 3.8000,-,05 Jul 2014,24 Jul 2014,27 Jun 2014,03 Jul 2014,01 Aug 2014
9,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,02 Jul 2015,Dividend - Rs. - 4.0000,-,04 Jul 2015,24 Jul 2015,29 Jun 2015,02 Jul 2015,-
10,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,14 Jul 2016,Dividend - Rs. - 4.0000,-,16 Jul 2016,22 Jul 2016,11 Jul 2016,14 Jul 2016,-
11,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,14 Jul 2017,Dividend - Rs. - 2.4000,-,18 Jul 2017,24 Jul 2017,11 Jul 2017,17 Jul 2017,-
12,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,19 Jul 2018,Dividend - Rs. - 4.0000,-,21 Jul 2018,27 Jul 2018,16 Jul 2018,19 Jul 2018,-
13,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,15 Jul 2019,Dividend - Rs. - 4.0000,-,17 Jul 2019,23 Jul 2019,10 Jul 2019,16 Jul 2019,-
14,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,15 Jul 2019,Special Dividend - Rs. - 2.5000,-,17 Jul 2019,23 Jul 2019,10 Jul 2019,16 Jul 2019,-
15,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,22 Jul 2020,Right Issue of Equity Shares ,23 Jul 2020,-,-,21 Jul 2020,22 Jul 2020,-
