SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
505036,AUTO COR.GOA,X ,Q,468.00,474.00,461.00,463.05,463.05,468.10,94,1260,587470.00,
505075,SETCO AUTO  ,B ,Q,16.36,16.50,15.87,15.89,15.89,16.08,94,15188,245012.00,
505141,SCOOTERS IND,T ,Q,29.55,30.60,29.15,29.50,29.25,30.15,77,6372,189275.00,
505160,TALBROS AUTO,B ,Q,208.50,239.30,208.25,239.30,239.30,199.45,2027,91215,20954176.00,
505163,ZF STEERING ,X ,Q,425.00,425.00,400.00,405.95,405.95,421.15,100,3040,1240378.00,
505192,SMLISUZU    ,A ,Q,508.00,510.00,502.00,503.65,502.00,503.05,219,1639,830172.00,
505196,TIL LTD.    ,B ,Q,182.40,182.40,174.50,179.50,179.50,179.60,51,438,78684.00,
505200,EICHER MOTOR,A ,Q,2804.90,2806.65,2758.00,2769.00,2769.00,2779.25,2197,67455,187597485.00,
505216,ALFRED HERB ,X ,Q,566.95,569.15,538.20,557.05,567.55,542.05,15,124,69434.00,
505232,VELJAN      ,X ,Q,814.00,814.00,771.00,781.20,780.00,814.15,93,650,510245.00,
505242,DYNAMAT.TECH,B ,Q,874.80,898.45,829.95,881.15,881.15,863.10,912,4880,4238023.00,
505250,G.G.DANDEKAR,X ,Q,48.00,48.00,44.70,45.00,45.00,47.00,9,1595,72302.00,
505255,GMM PFAUDLER,A ,Q,3738.70,3875.00,3733.85,3788.15,3788.15,3699.15,4817,59415,225702429.00,
505283,KIRLOSAR PN ,X ,Q,212.95,219.00,205.50,207.20,208.00,214.30,693,41289,8748576.00,
505285,TULIVE      ,XT,Q,195.00,195.00,195.00,195.00,195.00,198.00,1,2,390.00,
505299,KPT         ,X ,Q,84.00,86.00,83.00,84.15,83.00,85.65,19,1083,92090.00,
505302,LAXMI AUTOLM,X ,Q,49.00,49.00,47.45,49.00,49.00,49.90,5,218,10666.00,
505324,MANUGRAPH IN,B ,Q,11.81,12.92,11.70,12.90,12.90,12.31,23,1099,13028.00,
505355,NESCO LTD   ,A ,Q,615.30,639.00,605.15,622.00,622.00,615.30,1489,21323,13327417.00,
505358,INTEGRA ENG ,X ,Q,29.20,30.50,29.20,29.70,29.65,30.15,28,13315,397428.00,
505368,REVATHI EQU.,B ,Q,567.00,570.40,558.45,565.00,570.40,581.00,73,461,260398.00,
505400,TEXINFRA    ,B ,Q,72.35,72.55,70.35,70.95,72.00,72.05,205,20025,1426072.00,
505412,WENDT(INDIA),B ,Q,3213.50,3232.95,3206.00,3206.00,3206.00,3184.80,20,31,99713.00,
505509,RESPON IND  ,A ,Q,178.80,185.90,177.80,179.30,179.30,176.35,131,5330,958354.00,
505523,MAHA CORP   ,XT,Q,0.66,0.66,0.66,0.66,0.66,0.67,11,6800,4488.00,
505526,DOLAT INV.  ,B ,Q,58.55,59.15,57.30,57.80,57.90,57.90,331,29012,1684785.00,
505533,WESTLIFE DEV,A ,Q,461.55,468.25,453.60,458.35,458.05,459.45,222,3194,1472509.00,
505537,ZEE ENTER   ,A ,Q,215.00,215.50,209.60,212.10,212.10,212.50,3926,552695,117332520.00,
505576,GOLDCORP    ,X ,Q,73.45,73.50,70.00,73.50,73.50,70.00,15,328,24097.00,
505590,SVPGLOB     ,XT,Q,69.75,73.00,69.75,71.80,72.00,71.40,384,31811,2284161.00,
505650,SKYL MILLAR ,X ,Q,6.42,6.42,6.18,6.18,6.18,6.30,29,7678,48162.00,
505681,BIMETAL BEAR,X ,Q,320.00,340.00,307.05,308.25,314.95,323.35,103,2636,843244.00,
505688,BHARAT GEARS,B ,Q,82.35,83.10,78.40,79.55,79.40,84.70,148,10673,854693.00,
505690,BRADY MORRIS,X ,Q,90.70,90.90,84.50,90.70,90.70,88.90,4,142,12580.00,
505693,LATIMMETAL  ,X ,Q,46.10,46.10,41.80,41.80,41.80,43.95,63,31033,1404764.00,
505700,ELECON ENG  ,B ,Q,54.65,58.25,54.65,55.55,55.55,56.05,826,85829,4859323.00,
505710,GRAUER& WEIL,X ,Q,44.20,45.00,42.50,42.60,42.60,44.00,1180,209205,9117558.00,
505711,GAJRA BEVEL ,XT,Q,2.85,2.85,2.85,2.85,2.85,2.99,8,6360,18126.00,
505712,HIMTEK      ,X ,Q,80.50,80.50,77.30,80.50,80.50,73.20,80,8352,670132.00,
505714,GABRIEL(I)  ,A ,Q,115.65,116.70,114.00,114.30,114.35,114.95,297,10340,1190398.00,
505720,HERC.HOISTS ,B ,Q,123.80,127.00,120.25,122.15,122.65,123.05,221,8535,1059754.00,
505725,HIND.EVEREST,X ,Q,141.40,141.40,141.40,141.40,141.40,134.70,1,100,14140.00,
505726,IFB IND.LTD.,A ,Q,1325.35,1345.25,1275.85,1287.95,1285.45,1332.90,260,1117,1459015.00,
505729,SINGER INDIA,X ,Q,41.75,41.75,37.70,38.40,38.60,40.75,499,109375,4257018.00,
505737,INTER.COMBUS,X ,Q,180.00,183.85,177.30,178.75,182.75,175.10,36,1153,210236.00,
505744,FED MOG GOE ,A ,Q,314.00,321.85,308.00,309.50,309.35,307.85,576,11383,3579772.00,
505750,JOSTS ENG.  ,X ,Q,675.15,686.45,675.00,675.00,675.00,680.00,11,343,232158.00,
505790,SCHAEFFLER  ,A ,Q,4960.00,5138.20,4960.00,5020.90,5020.90,4939.40,588,1630,8193656.00,
505800,RANE HOLDIN ,A ,Q,593.35,604.75,585.90,589.35,589.85,591.70,217,2187,1295279.00,
505827,SNL BEARINGS,X ,Q,204.30,214.00,204.30,213.85,214.00,210.65,49,1565,328881.00,
505840,JAIPAN INDUS,XT,Q,8.49,8.49,7.70,8.49,8.49,8.10,7,1066,8291.00,
505850,MANCREDIT   ,X ,Q,60.30,60.45,58.45,58.90,58.90,59.65,105,9849,584414.00,
505854,TRF LTD.    ,B ,Q,100.00,100.80,97.00,98.35,97.85,104.10,542,7015,691630.00,
505872,WPIL LTD.   ,X ,Q,667.00,671.00,640.20,645.40,645.40,655.25,245,7412,4859924.00,
505890,KENNAMETAL  ,A ,Q,970.00,970.00,968.70,968.70,968.70,961.20,2,3,2908.00,
505893,HINDHARD    ,X ,Q,130.05,130.05,128.00,129.00,129.00,123.90,13,451,58335.00,
505978,TRITON VALVE,X ,Q,1102.30,1102.30,1053.00,1059.20,1060.00,1102.30,42,321,339510.00,
506022,PRAKASH IND.,A ,Q,52.30,52.30,49.50,49.65,49.50,51.35,849,108065,5422719.00,
506074,ARSHIYA     ,T ,Q,34.45,36.15,32.75,33.25,32.75,34.45,128,24455,836789.00,
506076,GRIND NORTON,A ,Q,877.10,888.90,846.35,885.05,888.50,869.50,1188,9258,8015984.00,
506079,LAKSHMI PREC,Z ,Q,4.55,4.55,4.55,4.55,4.55,4.71,1,100,455.00,
506105,STANROSE MAF,X ,Q,76.15,81.00,75.05,75.85,75.80,79.00,58,3218,244739.00,
