SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1562.00,1633.75,1510.00,1523.00,1523.00,1538.15,2934,32459,50997452.00,
500003,AEGIS LOGIS ,A ,Q,289.95,289.95,280.00,283.70,285.25,289.95,641,15186,4312991.00,
500008,AMAR RAJA BA,A ,Q,888.20,898.35,868.25,877.90,877.90,892.00,6889,96907,85532947.00,
500009,A.SARABHAI  ,X ,Q,19.90,19.90,18.90,18.90,18.90,19.50,201,47379,904537.00,
500010,HDFC        ,A ,Q,2730.00,2765.15,2714.05,2735.45,2735.45,2744.75,3731,145109,395953860.00,
500012,ANDHRA PETRO,X ,Q,47.95,49.70,46.10,49.70,49.70,47.35,413,201763,9886495.00,
500013,ANSAL INFRAS,B ,Q,7.24,7.35,6.86,7.00,6.95,7.22,103,51747,364641.00,
500014,UTIQUE      ,X ,Q,1.62,1.70,1.62,1.70,1.70,1.70,16,3029,4991.00,
500020,BOM DYEING  ,A ,Q,73.15,79.80,73.05,76.25,76.25,73.05,4683,942144,72402997.00,
500023,ASIANHOTNR  ,B ,Q,69.00,72.70,69.00,71.05,71.35,70.10,104,5495,395436.00,
500027,ATUL LTD.   ,A ,Q,6697.00,6697.00,6520.00,6581.35,6590.00,6659.05,993,2302,15123802.00,
500028,ATV PROJECTS,XT,Q,4.80,5.00,4.70,4.75,4.75,4.80,21,4064,19702.00,
500029,AUTOLITE(I) ,Z ,Q,27.65,28.90,26.60,27.90,27.90,27.90,18,2774,76297.00,
500031,BAJAJ ELECT.,A ,Q,1003.20,1015.00,974.90,1002.00,1002.00,1002.70,2180,37248,37195464.00,
500032,BAJAJHIND   ,A ,Q,6.50,6.73,6.45,6.53,6.57,6.55,725,841848,5561240.00,
500033,FORCE MOTR  ,A ,Q,1350.00,1363.50,1331.00,1338.65,1344.50,1348.00,328,2513,3388610.00,
500034,BAJFINANCE  ,A ,Q,5564.95,5621.30,5425.00,5499.05,5499.05,5565.45,13580,127037,702860149.00,
500038,BALRAM.CHINI,A ,Q,174.50,175.05,165.65,168.50,168.70,174.00,1752,111151,19005110.00,
500039,BANCO PROD. ,B ,Q,153.00,159.75,150.00,152.05,152.05,153.50,525,19692,3061248.00,
500040,CENTURY TEXT,A ,Q,479.50,504.45,475.00,484.20,484.20,485.10,4349,218762,107449011.00,
500041,BANNARI AMAN,A ,Q,1609.00,1649.60,1580.00,1592.30,1588.35,1569.20,119,2551,4113098.00,
500042,BASF INDIA  ,A ,Q,2120.00,2149.00,2000.00,2031.35,2025.50,2104.95,996,5556,11451847.00,
500043,BATA INDIA  ,A ,Q,1519.00,1532.20,1489.00,1499.15,1499.15,1513.85,1880,36382,55077437.00,
500048,BEML LTD    ,A ,Q,1015.00,1031.95,964.00,975.50,975.50,1008.90,1697,33271,33379014.00,
500049,BHARAT ELECT,A ,Q,141.00,142.70,133.05,135.20,135.80,141.55,6551,1710667,239397353.00,
500052,BHANSALI ENG,A ,Q,138.00,150.50,138.00,144.70,144.70,141.45,7187,953356,138758518.00,
500055,TATASTLBSL  ,B ,Q,44.80,44.95,42.55,43.25,43.25,44.70,1079,382356,16714190.00,
500060,BIRLACABLE  ,B ,Q,63.70,64.00,62.15,62.55,62.50,63.30,204,11325,715102.00,
500067,BLUE STAR   ,A ,Q,840.50,869.50,810.50,812.95,812.95,850.10,668,5846,4845892.00,
500068,DISA INDIA  ,X ,Q,4286.95,4286.95,4100.00,4148.10,4161.50,4225.00,85,354,1480786.00,
500069,BNK CAPITAL ,X ,Q,109.40,109.45,105.70,107.95,108.00,109.00,43,4933,535202.00,
500074,BPL LTD.    ,B ,Q,22.00,22.15,21.55,21.60,21.65,21.70,68,6625,145053.00,
500078,OAL         ,B ,Q,635.00,639.85,595.00,614.20,619.85,633.20,329,2737,1689361.00,
500083,CENTURY EXT ,B ,Q,4.44,4.60,4.40,4.51,4.51,4.47,62,23771,106500.00,
500084,CESC LTD.   ,A ,Q,621.90,627.60,608.65,611.60,611.60,621.15,680,13239,8139830.00,
500085,CHAMBAL FERT,A ,Q,234.00,237.95,229.30,234.90,234.90,233.35,2248,86410,20096154.00,
500086,EXIDE IND.  ,A ,Q,210.25,211.80,202.20,204.35,204.35,210.25,6975,367757,76119185.00,
500087,CIPLA LTD.  ,A ,Q,829.90,829.90,799.35,807.30,807.30,824.90,3071,119859,97328354.00,
500089,DIC INDIA   ,B ,Q,399.00,405.00,397.75,399.00,400.25,397.75,25,175,70252.00,
500092,CRISIL LTD  ,A ,Q,1919.60,1970.00,1919.60,1957.90,1945.05,1919.60,233,1076,2103799.00,
500093,CGPOWER     ,B ,Q,51.60,52.50,48.30,52.15,52.15,50.00,3310,1552861,80854116.00,
500096,DABUR (I)   ,A ,Q,515.65,515.65,507.55,513.25,513.25,520.20,25808,12793880,6532402724.00,
500097,DALMIASUG   ,A ,Q,148.00,150.00,141.10,144.40,144.70,148.35,371,14174,2083571.00,
500101,ARVIND Ltd  ,A ,Q,69.40,72.50,67.55,69.70,69.70,69.60,2112,174670,12307489.00,
500102,BALARPUR IND,Z ,Q,1.28,1.35,1.27,1.27,1.27,1.33,175,972363,1252037.00,
500103,BHEL        ,A ,Q,42.80,43.25,39.65,40.40,40.40,43.05,19252,7265365,301663048.00,
500104,HIND.PETRO  ,A ,Q,248.60,252.25,238.65,243.95,243.95,245.60,5366,553006,135920643.00,
500106,IFCI LTD    ,A ,Q,9.47,9.47,8.92,9.00,9.00,9.22,38198,776635,7112595.00,
500108,MAHA.TELE   ,B ,Q,12.29,12.46,12.12,12.15,12.15,12.29,256,63115,775878.00,
500109,MRPL        ,A ,Q,39.20,39.20,36.70,37.60,37.60,39.10,580,198005,7583259.00,
500110,CHENNAI PET.,A ,Q,99.75,100.55,95.75,96.65,97.00,99.75,534,76342,7492454.00,
500111,REL.CAP.    ,B ,Q,9.95,10.11,9.59,9.71,9.71,9.96,582,290934,2862615.00,
500112,STATE BANK  ,A ,Q,415.05,415.20,395.00,399.35,399.35,415.00,26862,2522526,1021640505.00,
500113,STEEL AUTH. ,A ,Q,67.00,68.50,63.30,65.25,65.25,66.95,10140,3464419,230697101.00,
500114,TITAN       ,A ,Q,1430.05,1444.65,1413.00,1425.50,1425.50,1434.40,7702,116283,166263721.00,
500116,IDBI BANK L ,A ,Q,32.45,32.95,30.70,31.45,31.45,32.35,3242,2343095,75083096.00,
500117,DCW LTD.    ,B ,Q,23.60,25.75,22.75,24.40,24.40,23.65,2301,930633,23008447.00,
500119,DHAMPUR SUGA,A ,Q,170.00,172.90,164.05,168.65,168.65,168.35,1066,55769,9492109.00,
500120,DIAMINES&CHM,X ,Q,307.00,307.00,299.00,300.85,301.00,304.90,364,12853,3883009.00,
