DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
26022021,500002,3116,4774180,14445,22100753,21.57
26022021,500003,10732,3310286,24638,7572939,43.56
26022021,500008,56688,50146205,95626,84398401,59.28
26022021,500009,35835,671907,42825,804460,83.68
26022021,500010,57579,146195960,164975,424268511,34.9
26022021,500012,451502,28580077,593171,37121133,76.12
26022021,500013,24359,194872,37180,293303,65.52
26022021,500014,2573,4349,2613,4185,98.47
26022021,500016,1030,6031,1030,6031,100.0
26022021,500020,100543,7445210,685192,51562082,14.67
26022021,500023,3,216,3,215,100.0
26022021,500027,1102,7220690,1886,12313072,58.43
26022021,500028,4854,22195,4854,22195,100.0
26022021,500029,2262,61766,2262,61766,100.0
26022021,500031,8365,8011161,21007,20266851,39.82
26022021,500032,1157163,7660420,2496276,16184210,46.36
26022021,500033,2284,2985874,2910,3816279,78.49
26022021,500034,77597,406476366,224496,1190211818,34.56
26022021,500038,32211,5711011,68586,12196418,46.96
26022021,500039,10671,1647069,125050,18953270,8.53
26022021,500040,13915,6704943,137259,66531339,10.14
26022021,500041,76,133760,78,132258,97.44
26022021,500042,1463,2816934,3096,6084768,47.25
26022021,500043,7480,10755866,28529,41569155,26.22
26022021,500048,12662,13663565,96924,104438293,13.06
26022021,500049,127075,17434690,710853,98762058,17.88
26022021,500052,38102,5498119,494010,71768301,7.71
26022021,500055,392493,17976180,1365674,63352748,28.74
26022021,500060,11804,714142,16171,978442,72.99
26022021,500067,10117,8796226,21840,18805167,46.32
26022021,500068,291,1294689,372,1653606,78.23
26022021,500069,1228,122800,5685,578243,21.6
26022021,500074,7902,165547,15924,338089,49.62
26022021,500078,1296,774620,2806,1667114,46.19
26022021,500083,15422,66315,17355,73455,88.86
26022021,500084,5105,3090567,12080,7330376,42.26
26022021,500085,18461,4503561,111186,27016009,16.6
26022021,500086,121678,24639795,339763,69390744,35.81
26022021,500087,74103,58285715,395970,318167276,18.71
26022021,500089,829,336906,3503,1424560,23.67
26022021,500092,244,475203,523,1015353,46.65
26022021,500093,229896,13035104,420154,23795805,54.72
26022021,500096,21289,10715819,131060,66508281,16.24
26022021,500097,10027,1607329,29094,4698869,34.46
26022021,500101,288212,23172245,907458,73290589,31.76
26022021,500102,1491341,1912484,1491341,1912484,100.0
26022021,500103,4432294,211198810,20051779,953072580,22.1
26022021,500104,171360,41186376,630322,155343764,27.19
