SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
500060,BIRLACABLE  ,B ,Q,62.0,65.5,58.2,63.45,63.2,62.3,861,34260,2185948.0,,2021-05-12
500067,BLUE STAR   ,A ,Q,815.7,825.6,812.25,821.05,821.0,819.9,548,5792,4749596.0,,2021-05-12
500068,DISA INDIA  ,X ,Q,4640.0,4774.05,4639.0,4708.6,4708.6,4604.55,84,652,3078899.0,,2021-05-12
500069,BNK CAPITAL ,XT,Q,190.0,191.9,189.1,191.3,191.3,189.65,16,4906,932141.0,,2021-05-12
500074,BPL LTD.    ,B ,Q,37.35,37.35,37.35,37.35,37.35,35.6,123,23566,880190.0,,2021-05-12
500078,OAL         ,B ,Q,800.0,823.25,800.0,807.8,810.0,810.4,308,3794,3068102.0,,2021-05-12
500083,CENTURY EXT ,B ,Q,6.68,7.75,6.05,7.12,7.25,6.68,1006,688763,4867379.0,,2021-05-12
500084,CESC LTD.   ,A ,Q,635.4,682.6,635.4,669.45,669.45,651.05,5469,104761,69987666.0,,2021-05-12
500085,CHAMBAL FERT,A ,Q,232.0,268.0,228.8,255.85,255.85,230.7,22422,1062876,267918118.0,,2021-05-12
500086,EXIDE IND.  ,A ,Q,187.65,190.45,182.55,186.35,186.35,186.55,4058,344881,64556365.0,,2021-05-12
500087,CIPLA LTD.  ,A ,Q,890.75,906.75,884.85,898.7,899.1,890.75,13153,339229,304134279.0,,2021-05-12
500089,DIC INDIA   ,B ,Q,404.45,409.0,390.0,392.25,392.5,402.7,151,1700,672290.0,,2021-05-12
500092,CRISIL LTD  ,A ,Q,1911.55,1936.6,1900.0,1921.9,1922.4,1900.95,452,2643,5068427.0,,2021-05-12
500093,CGPOWER     ,B ,Q,89.1,89.7,82.95,83.65,83.65,85.45,2711,433321,37375583.0,,2021-05-12
500096,DABUR (I)   ,A ,Q,525.5,532.3,525.15,529.25,529.25,525.45,5011,204599,108173140.0,,2021-05-12
500097,DALMIASUG   ,A ,Q,321.0,334.4,307.0,312.8,319.5,321.6,1588,48934,15635947.0,,2021-05-12
500101,ARVIND Ltd  ,A ,Q,74.85,76.3,73.0,73.3,73.3,74.8,1802,124624,9280179.0,,2021-05-12
500102,BALARPUR IND,Z ,Q,1.26,1.26,1.26,1.26,1.26,1.2,118,499071,628829.0,,2021-05-12
500103,BHEL        ,A ,Q,74.65,76.6,68.4,71.35,71.35,73.35,46470,18438702,1351818102.0,,2021-05-12
500104,HIND.PETRO  ,A ,Q,265.85,269.4,258.8,262.35,262.35,265.85,3627,278881,73722114.0,,2021-05-12
500106,IFCI LTD    ,A ,Q,11.5,11.6,11.2,11.55,11.55,11.05,2594,1378869,15934617.0,,2021-05-12
500108,MAHA.TELE   ,B ,Q,18.95,19.95,18.05,18.55,18.55,18.55,3302,1059288,19935085.0,,2021-05-12
500109,MRPL        ,A ,Q,46.6,53.4,46.6,47.9,47.9,46.55,8439,2157423,108067973.0,,2021-05-12
500110,CHENNAI PET.,A ,Q,119.0,122.0,115.5,117.2,117.2,118.6,2602,208247,24751855.0,,2021-05-12
500111,REL.CAP.    ,B ,Q,12.95,12.95,11.79,11.79,11.79,12.41,3331,1794350,21762658.0,,2021-05-12
500112,STATE BANK  ,A ,Q,363.7,373.4,362.0,367.85,367.85,364.45,23518,3505968,1290081324.0,,2021-05-12
500113,STEEL AUTH. ,A ,Q,140.5,143.2,129.05,132.2,132.2,140.5,42855,7707947,1052751612.0,,2021-05-12
500114,TITAN       ,A ,Q,1435.05,1459.8,1426.0,1454.8,1454.8,1435.95,3945,60983,88010689.0,,2021-05-12
500116,IDBI BANK L ,A ,Q,39.0,39.8,38.5,38.85,38.85,38.75,6417,2825531,110621164.0,,2021-05-12
500117,DCW LTD.    ,B ,Q,34.4,35.1,34.0,34.2,34.2,34.6,1416,293998,10142523.0,,2021-05-12
500119,DHAMPUR SUGA,A ,Q,336.0,347.0,318.9,325.5,328.8,332.95,3591,128236,42996936.0,,2021-05-12
500120,DIAMINES&CHM,X ,Q,340.95,349.0,330.0,334.05,335.9,337.6,411,16704,5615658.0,,2021-05-12
500123,ELANTAS     ,A ,Q,3534.7,3579.0,3480.0,3486.5,3501.0,3478.75,107,641,2249632.0,,2021-05-12
500124,DR.REDDY'S  ,A ,Q,5325.0,5339.75,5274.05,5302.0,5302.0,5293.6,4024,38288,203047658.0,,2021-05-12
500125,E.I.D.PAR   ,A ,Q,435.15,444.55,414.0,419.15,419.15,433.9,1319,19701,8456111.0,,2021-05-12
500126,PGHL        ,A ,Q,5825.0,5849.9,5761.85,5782.5,5782.5,5809.75,589,1588,9198351.0,,2021-05-12
500128,ELEC.CASTING,B ,Q,32.5,32.6,31.15,31.65,31.95,32.35,882,133678,4243161.0,,2021-05-12
500133,ESAB INDIA  ,A ,Q,1798.4,1805.05,1775.0,1778.75,1778.75,1801.95,205,655,1172720.0,,2021-05-12
500135,EPL         ,A ,Q,239.0,244.4,236.65,239.1,239.1,236.4,1558,51980,12508200.0,,2021-05-12
500136,ESTER INDUS.,B ,Q,140.6,147.65,138.05,145.15,146.9,140.7,1005,38529,5523114.0,,2021-05-12
500142,FGP LTD.    ,X ,Q,1.38,1.38,1.36,1.36,1.36,1.38,8,1552,2112.0,,2021-05-12
500143,P.H.CAPITAL ,X ,Q,29.75,29.75,27.0,27.0,27.0,28.4,9,897,24233.0,,2021-05-12
500144,FINOL. CABLE,A ,Q,368.0,377.7,360.3,373.3,374.0,359.05,550,10418,3880596.0,,2021-05-12
500147,COCKERILL   ,X ,Q,931.0,973.0,911.5,945.25,945.25,919.5,177,6115,5806242.0,,2021-05-12
500148,UFLEX LTD   ,A ,Q,440.0,440.7,424.35,425.9,428.5,438.0,586,12892,5548994.0,,2021-05-12
500150,FOSECO INDIA,B ,Q,1410.0,1414.6,1355.0,1372.95,1355.0,1408.55,146,427,592822.0,,2021-05-12
500151,GOLDEN TOB  ,B ,Q,41.05,47.7,41.05,44.0,43.4,45.15,131,4642,207124.0,,2021-05-12
500153,GANESH BENZO,X ,Q,68.95,69.5,66.2,67.05,67.05,67.85,416,82549,5602095.0,,2021-05-12
500159,METROGLOBL  ,X ,Q,63.9,63.9,57.5,59.4,60.5,59.6,47,2595,152301.0,,2021-05-12
500160,GTL LTD.    ,B ,Q,7.23,7.33,6.92,7.05,7.04,7.05,244,130891,938176.0,,2021-05-12
500163,GODFREY PH  ,A ,Q,863.5,866.25,857.0,858.15,858.5,863.8,181,1534,1322679.0,,2021-05-12
500164,GODREJ IND  ,A ,Q,513.0,610.6,510.7,556.25,556.25,508.85,14202,371137,214863651.0,,2021-05-12
500165,KANSAI NERO ,A ,Q,557.05,561.55,549.7,558.95,557.65,553.65,847,13002,7229910.0,,2021-05-12
500166,GOODRICKE   ,X ,Q,272.0,274.95,258.05,265.1,264.0,272.55,307,21148,5638590.0,,2021-05-12
500168,GOODYEAR (I),A ,Q,901.1,914.95,899.15,903.1,902.0,901.5,290,1583,1430061.0,,2021-05-12
500170,GTN INDUS   ,X ,Q,11.0,11.5,10.42,11.25,11.25,11.09,24,1995,22317.0,,2021-05-12
500171,GHCL LTD    ,A ,Q,261.0,274.95,257.75,262.3,262.3,265.2,1880,60255,16048694.0,,2021-05-12
500173,GFLLIMITED  ,A ,Q,73.0,73.0,70.0,71.05,70.9,71.85,152,11464,813330.0,,2021-05-12
500174,GUJ.LEASE   ,B ,Q,2.05,2.05,2.05,2.05,2.05,1.96,2,500,1025.0,,2021-05-12
500179,HCL INFOSYS ,B ,Q,9.74,9.74,8.93,9.39,9.39,9.38,593,289575,2688062.0,,2021-05-12
500180,HDFC BANK   ,A ,Q,1403.0,1408.9,1389.05,1399.5,1399.5,1403.7,14652,255383,357019991.0,,2021-05-12
500182,HEROMOTOCO  ,A ,Q,2844.0,2857.75,2815.5,2841.85,2841.0,2836.9,1246,15125,42869086.0,,2021-05-12
500183,HFCL        ,A ,Q,37.5,38.35,35.4,35.9,35.9,37.05,9426,3535413,130841628.0,,2021-05-12
500184,HSCL        ,A ,Q,51.75,52.3,49.15,49.65,49.65,51.1,4209,1303595,66438531.0,,2021-05-12
500185,HIND.CONSTN.,A ,Q,8.2,8.7,8.2,8.33,8.33,8.21,2104,2102601,17743880.0,,2021-05-12
500186,HIND.OIL EXP,A ,Q,123.8,123.8,117.05,118.75,118.75,121.3,2098,132093,15740449.0,,2021-05-12
500187,HSIL        ,B ,Q,214.9,226.85,201.0,204.45,204.45,207.5,13350,575994,123074529.0,,2021-05-12
500188,HINDUS.ZI   ,A ,Q,315.0,332.0,312.0,316.95,316.95,313.2,15168,645554,208954595.0,,2021-05-12
500189,NXTDIGITAL  ,B ,Q,516.0,543.7,501.25,517.3,526.0,515.7,242,2098,1094728.0,,2021-05-12
500191,HMT LTD.    ,Z ,Q,29.5,29.65,27.75,28.95,29.0,28.25,108,18122,528317.0,,2021-05-12
500192,PRAG BOSIMI ,XT,Q,1.58,1.65,1.58,1.65,1.65,1.58,18,7478,12062.0,,2021-05-12
500193,HLVLTD      ,B ,Q,6.16,6.4,6.1,6.11,6.11,6.09,195,85795,532597.0,,2021-05-12
500199,I.G.PETRO   ,B ,Q,475.65,479.0,460.0,462.15,462.15,470.9,276,4115,1928728.0,,2021-05-12
500201,IND.GLYCOLS ,A ,Q,514.8,515.4,493.0,496.75,496.75,508.9,1634,52055,26372924.0,,2021-05-12
500202,IND.LEAS.DEV,X ,Q,10.6,10.6,10.6,10.6,10.6,10.4,1,21,222.0,,2021-05-12
500206,MARGO FIN   ,X ,Q,10.46,10.46,9.48,9.65,9.8,9.97,16,2116,21158.0,,2021-05-12
500207,INDO RAMA   ,B ,Q,43.3,50.5,43.05,47.4,47.4,42.8,1152,118727,5688366.0,,2021-05-12
500209,INFOSYS LTD ,A ,Q,1332.0,1334.3,1315.0,1326.95,1326.95,1330.7,21914,1134464,1496453046.0,,2021-05-12
500210,INGERSOLL   ,A ,Q,806.1,813.35,768.3,775.45,778.0,791.85,585,4673,3677924.0,,2021-05-12
500211,INSILCO LTD.,X ,Q,7.05,7.2,6.8,6.96,7.0,7.02,116,67097,469883.0,,2021-05-12
