Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-14,593.0,597.8,575.4,583.0,586.3528265107212,2565.0,249.0,1503995.0,1488.0,58.01,22.399999999999977,-10.0,1620930600.0
2021-05-12,602.7,603.55,591.95,593.0,598.0928251121078,4460.0,391.0,2667494.0,924.0,20.72,11.599999999999907,-9.700000000000044,1620757800.0
2021-05-10,602.5,611.0,597.45,604.2,605.1767696519357,2557.0,237.0,1547437.0,1719.0,67.23,13.549999999999955,1.7000000000000457,1620585000.0
2021-05-07,595.05,624.9,594.75,599.8,605.1573013915803,5677.0,568.0,3435478.0,3025.0,53.29,30.149999999999977,4.75,1620345600.0
2021-05-06,595.1,610.0,595.05,597.45,600.5481760183216,6113.0,570.0,3671151.0,1999.0,32.7,14.950000000000045,2.3500000000000227,1620259200.0
2021-05-05,576.1,607.8,576.1,596.15,596.808734939759,5312.0,476.0,3170248.0,3213.0,60.49,31.69999999999993,20.04999999999995,1620153000.0
2021-05-04,617.0,619.85,582.8,585.75,598.8351959258737,7069.0,474.0,4233166.0,4123.0,58.32,37.05,-31.25,1620086400.0
2021-05-03,610.0,626.05,608.2,615.05,615.9300659214674,3489.0,351.0,2148980.0,2260.0,64.78,17.85,5.05,1620000000.0
2021-04-30,618.0,618.0,584.8,598.25,597.7676751841982,6379.0,528.0,3813160.0,3660.0,57.38,33.2,-19.75,1619740800.0
2021-04-29,640.5,640.5,593.3,608.4,612.9390255484851,10529.0,750.0,6453635.0,4618.0,43.86,47.2,-32.1,1619654400.0
2021-04-28,539.35,641.85,539.35,639.85,623.7632963300472,48284.0,2929.0,30117787.0,15869.0,32.87,102.5,100.5,1619568000.0
2021-04-27,527.15,538.0,523.0,534.9,530.3229706390326,579.0,104.0,307057.0,260.0,44.9,15.0,7.75,1619481600.0
2021-04-26,523.2,532.75,522.05,523.95,527.1664447403463,751.0,75.0,395902.0,359.0,47.8,10.7,0.75,1619395200.0
2021-04-23,524.5,534.6,515.4,522.25,523.4868183459732,2769.0,321.0,1449535.0,1830.0,66.09,19.2,-2.25,1619136000.0
2021-04-22,526.35,534.4,513.6,526.5,523.3762932973459,4446.0,445.0,2326931.0,2441.0,54.9,20.8,0.15,1619049600.0
2021-04-20,528.7,542.5,523.4,529.15,532.6820577164366,7970.0,1260.0,4245476.0,2755.0,34.57,19.1,0.45,1618876800.0
2021-04-19,550.0,550.0,520.0,525.3,528.9387411645912,2971.0,369.0,1571477.0,1825.0,61.43,30.0,-24.7,1618790400.0
2021-04-16,565.0,567.0,545.0,550.25,558.4015401540154,10908.0,844.0,6091044.0,4633.0,42.47,22.0,-14.75,1618531200.0
2021-04-15,576.0,589.85,556.05,562.85,565.9279370718092,7882.0,627.0,4460644.0,3335.0,42.31,33.8,-13.15,1618444800.0
2021-04-13,582.0,592.45,578.75,584.3,586.6650625601541,1039.0,105.0,609545.0,790.0,76.03,13.7,2.3,1618272000.0
2021-04-12,590.0,590.25,565.0,566.7,573.410016510732,1817.0,248.0,1041886.0,1155.0,63.57,25.25,-23.3,1618185600.0
2021-04-09,595.8,609.5,592.45,598.1,601.2022207267833,2972.0,300.0,1786773.0,2471.0,83.14,17.05,2.3,1617926400.0
2021-04-08,601.35,611.45,601.35,607.95,608.2259887005649,531.0,78.0,322968.0,366.0,68.93,10.1,6.6,1617840000.0
2021-04-07,608.0,617.75,608.0,609.3,613.4694140373471,1553.0,188.0,952718.0,1183.0,76.18,9.75,1.3,1617753600.0
2021-04-06,612.05,615.2,607.9,610.5,612.427,1000.0,160.0,612427.0,722.0,72.2,7.3,-1.55,1617667200.0
2021-04-05,609.15,637.65,602.65,610.6,619.9264684554025,6895.0,820.0,4274393.0,4701.0,68.18,35.0,1.45,1617580800.0
2021-04-01,617.0,621.25,613.65,618.95,616.8571428571429,672.0,88.0,414528.0,400.0,59.52,7.6,1.95,1617235200.0
2021-03-31,590.0,624.75,583.0,604.35,598.2801857585139,3230.0,277.0,1932445.0,2283.0,70.68,41.75,14.35,1617148800.0
2021-03-30,590.7,602.0,576.95,589.35,587.9835349462365,2976.0,407.0,1749839.0,2026.0,68.08,25.05,-1.35,1617062400.0
2021-03-26,561.95,595.3,561.95,593.5,592.4755939524838,2315.0,275.0,1371581.0,1311.0,56.63,33.35,31.55,1616716800.0
2021-03-25,587.0,593.0,561.0,570.9,576.973867964452,9452.0,725.0,5453557.0,5615.0,59.41,32.0,-16.1,1616630400.0
2021-03-24,607.65,607.65,584.35,586.75,591.9369646386997,4553.0,407.0,2695089.0,2746.0,60.31,23.3,-20.9,1616544000.0
2021-03-23,589.7,611.5,588.65,598.7,602.0284104824884,4083.0,363.0,2458082.0,2211.0,54.15,22.85,9.0,1616457600.0
2021-03-22,590.1,600.5,585.0,590.85,592.4259259259259,810.0,89.0,479865.0,414.0,51.11,15.5,0.75,1616371200.0
2021-03-19,575.6,603.55,564.05,593.7,586.6428003884524,11327.0,781.0,6644903.0,4163.0,36.75,39.5,18.1,1616112000.0
2021-03-18,610.0,611.25,576.0,590.35,591.6195059351941,6234.0,657.0,3688156.0,3743.0,60.04,35.25,-19.65,1616025600.0
2021-03-17,606.2,614.95,596.0,603.3,607.6909892262488,6126.0,541.0,3722715.0,4704.0,76.79,18.95,-2.9,1615939200.0
2021-03-16,613.0,621.6,605.0,606.85,611.8057059558516,4802.0,466.0,2937891.0,3199.0,66.62,16.6,-6.15,1615852800.0
2021-03-15,621.05,624.0,605.2,613.9,614.2736730360932,4710.0,394.0,2893229.0,2588.0,54.95,18.8,-7.15,1615766400.0
2021-03-12,639.0,639.0,618.45,620.35,624.0868945868946,2106.0,178.0,1314327.0,1432.0,68.0,20.55,-18.65,1615507200.0
2021-03-10,624.85,629.5,610.0,616.5,622.8500999333778,6004.0,519.0,3739592.0,3657.0,60.91,19.5,-8.35,1615334400.0
2021-03-09,629.4,629.4,605.8,620.15,616.8389006342495,2365.0,185.0,1458824.0,989.0,41.82,23.6,-9.25,1615248000.0
2021-03-08,615.0,622.0,610.85,616.8,616.1710132535272,4678.0,337.0,2882448.0,2605.0,55.69,11.15,1.8,1615161600.0
2021-03-05,621.0,632.05,608.9,611.45,622.8810965540017,9083.0,985.0,5657629.0,4730.0,52.08,23.15,-9.55,1614902400.0
2021-03-04,611.0,635.0,604.6,621.85,622.9184545894499,12398.0,1205.0,7722943.0,6069.0,48.95,30.4,10.85,1614816000.0
2021-03-03,611.6,613.8,601.25,610.9,608.1228989303645,4581.0,551.0,2785811.0,2723.0,59.44,12.55,-0.7,1614729600.0
2021-03-02,605.0,621.0,594.0,599.6,606.5313193673696,28832.0,1575.0,17487511.0,17232.0,59.77,27.0,-5.4,1614643200.0
2021-03-01,632.0,634.2,601.15,608.05,610.3372691700417,14567.0,1413.0,8890783.0,8380.0,57.53,33.05,-23.95,1614556800.0
2021-02-26,633.0,633.95,625.0,626.3,628.8575705731394,4676.0,353.0,2940538.0,3095.0,66.19,8.95,-6.7,1614297600.0
2021-02-25,637.7,641.0,633.0,633.9,634.7949004280663,5373.0,682.0,3410753.0,3278.0,61.01,8.0,-3.8,1614211200.0
2021-02-24,641.8,653.55,619.0,641.3,639.4847928683797,15256.0,1140.0,9755980.0,10725.0,70.3,34.55,-0.5,1614124800.0
2021-02-23,651.0,652.5,633.45,637.4,640.7040462427748,4325.0,832.0,2771045.0,2415.0,55.84,19.05,-13.6,1614038400.0
2021-02-22,667.7,667.7,642.0,654.75,650.8505129457742,2047.0,289.0,1332291.0,1182.0,57.74,25.7,-12.95,1613952000.0
2021-02-19,680.4,689.45,657.0,659.65,667.7465091299678,2793.0,496.0,1865016.0,2120.0,75.9,32.45,-20.75,1613692800.0
2021-02-18,690.3,691.95,675.15,680.55,685.7727476467953,4462.0,363.0,3059918.0,3285.0,73.62,16.8,-9.75,1613606400.0
2021-02-17,747.8,747.8,686.0,689.8,690.8720173535793,1844.0,170.0,1273968.0,1465.0,79.45,61.8,-58.0,1613520000.0
2021-02-16,680.0,692.3,675.95,691.35,684.0239651416123,2295.0,205.0,1569835.0,1308.0,56.99,16.35,11.35,1613433600.0
2021-02-15,682.0,686.0,665.0,670.0,675.8523641042136,6218.0,626.0,4202450.0,2651.0,42.63,21.0,-12.0,1613347200.0
2021-02-12,675.0,688.4,673.35,682.55,681.795517200048,8343.0,771.0,5688220.0,5252.0,62.95,15.05,7.55,1613088000.0
