Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-12,157.75,158.5,152.7,154.2,155.5772411739101,87298.0,1735.0,13581582.0,43110.0,49.38,5.800000000000013,-3.550000000000012,1620757800.0
2021-05-10,152.0,153.9,151.8,152.25,152.7297622932303,39839.0,729.0,6084601.0,13467.0,33.8,2.0999999999999943,0.25,1620585000.0
2021-05-07,151.75,153.6,150.75,151.05,152.12146912704046,28180.0,789.0,4286783.0,11273.0,40.0,2.8499999999999943,-0.6999999999999886,1620345600.0
2021-05-06,157.0,157.0,151.6,152.45,153.12380435039324,42341.0,1235.0,6483415.0,18224.0,43.04,5.400000000000006,-4.550000000000012,1620259200.0
2021-05-05,156.0,157.95,153.4,154.35,155.3017303316968,66808.0,1527.0,10375398.0,28718.0,42.99,4.549999999999983,-1.6500000000000057,1620153000.0
2021-05-04,154.6,159.85,154.15,155.65,156.908491811589,264337.0,3588.0,41476720.0,88386.0,33.44,5.699999999999987,1.0500000000000114,1620086400.0
2021-05-03,144.5,147.75,143.45,147.05,146.07322497040286,62506.0,1601.0,9130453.0,20205.0,32.32,4.3,2.55,1620000000.0
2021-04-30,148.0,148.0,145.4,146.0,146.62276425848302,52723.0,899.0,7730392.0,37061.0,70.29,2.6,-2.0,1619740800.0
2021-04-29,149.9,152.0,145.55,146.4,148.7901202300052,80346.0,2165.0,11954691.0,22243.0,27.68,6.45,-3.5,1619654400.0
2021-04-28,151.25,151.25,147.75,148.15,149.00129622210176,42431.0,1035.0,6322274.0,20316.0,47.88,3.5,-3.1,1619568000.0
2021-04-27,147.65,151.8,147.65,149.5,150.55445854435789,35146.0,871.0,5291387.0,11802.0,33.58,4.15,1.85,1619481600.0
2021-04-26,151.7,151.7,148.7,149.05,149.64194285714285,17500.0,382.0,2618734.0,7355.0,42.03,3.0,-2.65,1619395200.0
2021-04-23,150.95,153.65,147.6,148.7,149.99469346665074,58607.0,1123.0,8790739.0,19586.0,33.42,6.05,-2.25,1619136000.0
2021-04-22,149.5,155.95,149.15,150.9,151.77870796402146,91499.0,1486.0,13887600.0,17269.0,18.87,6.8,1.4,1619049600.0
2021-04-20,147.3,159.4,146.5,148.55,151.1438562946563,139118.0,1914.0,21026831.0,17431.0,12.53,12.9,1.25,1618876800.0
