Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime
2021-04-23,3.67,3.67,3.67,3.67,3.669858451290591,2402,9,8815.0,2402.0,100.0,0.0,0.0,1619116200.0
2021-04-22,3.5,3.5,3.5,3.5,3.4999573123879446,11713,13,40995.0,11713.0,100.0,0.0,0.0,1619029800.0
2021-04-20,3.34,3.34,3.34,3.34,3.3399807630650846,15595,10,52087.0,15595.0,100.0,0.0,0.0,1618857000.0
2021-04-19,3.19,3.19,3.19,3.19,3.189993854607237,138315,41,441224.0,138315.0,100.0,0.0,0.0,1618770600.0
2021-04-16,3.04,3.04,3.04,3.04,3.0399975977418774,16651,15,50619.0,16651.0,100.0,0.0,0.0,1618511400.0
2021-04-15,2.9,2.9,2.9,2.9,2.8999170124481326,6025,5,17472.0,6025.0,100.0,0.0,0.0,1618425000.0
2021-04-13,2.77,2.77,2.77,2.77,2.77,7200,9,19944.0,7200.0,100.0,0.0,0.0,1618252200.0
2021-04-12,2.64,2.64,2.64,2.64,2.64,6750,7,17820.0,6750.0,100.0,0.0,0.0,1618165800.0
2021-04-09,2.52,2.52,2.52,2.52,2.519983065198984,11810,15,29761.0,11810.0,100.0,0.0,0.0,1617906600.0
2021-04-08,2.4,2.4,2.4,2.4,2.4,13825,14,33180.0,13825.0,100.0,0.0,0.0,1617820200.0
2021-04-07,2.29,2.29,2.29,2.29,2.29,4100,5,9389.0,4100.0,100.0,0.0,0.0,1617733800.0
2021-04-06,2.25,2.25,2.25,2.25,2.2499585062240666,12050,7,27112.0,12050.0,100.0,0.0,0.0,1617647400.0
2021-04-05,2.21,2.21,2.21,2.21,2.2099846094651787,10396,9,22975.0,10396.0,100.0,0.0,0.0,1617561000.0
2021-04-01,2.17,2.17,2.17,2.17,2.169718309859155,1420,5,3081.0,1420.0,100.0,0.0,0.0,1617215400.0
2021-03-31,2.13,2.13,2.13,2.13,2.129993535875889,15470,13,32951.0,15470.0,100.0,0.0,0.0,1617129000.0
2021-03-30,2.09,2.09,2.09,2.09,2.089984496124031,16125,16,33701.0,16125.0,100.0,0.0,0.0,1617042600.0
2021-03-26,2.05,2.05,2.05,2.05,2.049950677069321,11151,12,22859.0,11151.0,100.0,0.0,0.0,1616697000.0
2021-03-25,2.01,2.01,2.01,2.01,2.0099526066350712,16880,17,33928.0,16880.0,100.0,0.0,0.0,1616610600.0
2021-03-24,1.98,1.98,1.98,1.98,1.9798573975044564,5610,9,11107.0,5610.0,100.0,0.0,0.0,1616524200.0
2021-03-23,1.95,1.95,1.95,1.95,1.95,7400,10,14430.0,7400.0,100.0,0.0,0.0,1616437800.0
2021-03-22,1.92,1.92,1.92,1.92,1.9199887703537335,3562,5,6839.0,3562.0,100.0,0.0,0.0,1616351400.0
2021-03-19,1.89,1.89,1.89,1.89,1.8896822563370224,2801,6,5293.0,2801.0,100.0,0.0,0.0,1616092200.0
2021-03-18,1.86,1.86,1.86,1.86,1.85986328125,2048,11,3809.0,2048.0,100.0,0.0,0.0,1616005800.0
2021-03-17,1.83,1.83,1.83,1.83,1.829931165440304,8426,14,15419.0,8426.0,100.0,0.0,0.0,1615919400.0
2021-03-16,1.77,1.8,1.77,1.8,1.799757419550468,52766,15,94966.0,52766.0,100.0,0.03,0.03,1615833000.0
2021-03-15,1.77,1.77,1.77,1.77,1.769909768536681,10196,13,18046.0,10196.0,100.0,0.0,0.0,1615746600.0
2021-03-08,1.77,1.77,1.75,1.77,1.7643059490084985,35300,16,62280.0,35300.0,100.0,0.02,0.0,1615141800.0
2021-03-01,1.74,1.74,1.74,1.74,1.739890236857308,6924,6,12047.0,6924.0,100.0,0.0,0.0,1614537000.0
2021-02-22,1.74,1.74,1.74,1.74,1.7399489470325462,6268,8,10906.0,6268.0,100.0,0.0,0.0,1613932200.0
2021-02-15,1.74,1.74,1.74,1.74,1.7399910031488979,15561,12,27076.0,15561.0,100.0,0.0,0.0,1613327400.0
2021-02-08,1.74,1.74,1.74,1.74,1.7399659360189572,27008,15,46993.0,27008.0,100.0,0.0,0.0,1612722600.0
2021-02-01,1.74,1.74,1.74,1.74,1.7399581902344332,13394,7,23305.0,13394.0,100.0,0.0,0.0,1612117800.0
2021-01-25,1.68,1.71,1.68,1.71,1.6998650016874788,29630,15,50367.0,29630.0,100.0,0.03,0.03,1611513000.0
2021-01-18,1.68,1.68,1.68,1.68,1.6799569647490664,15801,19,26545.0,15801.0,100.0,0.0,0.0,1610908200.0
2021-01-11,1.59,1.65,1.59,1.65,1.6477946017116525,13671,8,22527.0,13671.0,100.0,0.06,0.06,1610303400.0
2021-01-04,1.62,1.62,1.62,1.62,1.62,46400,18,75168.0,46400.0,100.0,0.0,0.0,1609698600.0
2020-12-28,1.62,1.62,1.62,1.62,1.6199138343705122,10445,10,16920.0,10445.0,100.0,0.0,0.0,1609093800.0
2020-12-21,1.6,1.62,1.59,1.62,1.6083050847457627,76700,32,123357.0,76700.0,100.0,0.03,0.02,1608489000.0
2020-12-14,1.59,1.62,1.59,1.62,1.610862182812942,42404,26,68307.0,42404.0,100.0,0.03,0.03,1607884200.0
2020-12-07,1.59,1.59,1.59,1.59,1.59,1000,2,1590.0,1000.0,100.0,0.0,0.0,1607279400.0
2020-12-01,1.59,1.59,1.59,1.59,1.5899444787168413,16210,5,25773.0,16210.0,100.0,0.0,0.0,1606761000.0
2020-11-26,1.56,1.56,1.56,1.56,1.5583333333333331,360,3,561.0,360.0,100.0,0.0,0.0,1606329000.0
2020-11-25,1.53,1.53,1.53,1.53,1.529995836135934,31221,12,47768.0,31221.0,100.0,0.0,0.0,1606242600.0
2020-11-24,1.5,1.5,1.5,1.5,1.5,13514,15,20271.0,13514.0,100.0,0.0,0.0,1606156200.0
2020-11-23,1.48,1.48,1.48,1.48,1.48,17700,7,26196.0,17700.0,100.0,0.0,0.0,1606069800.0
2020-11-20,1.46,1.46,1.46,1.46,1.46,450,3,657.0,450.0,100.0,0.0,0.0,1605810600.0
2020-11-19,1.42,1.44,1.4,1.44,1.4385435897435896,48750,16,70129.0,48750.0,100.0,0.04,0.02,1605724200.0
2020-11-18,1.46,1.46,1.42,1.42,1.4445681381957771,52100,20,75262.0,52100.0,100.0,0.04,-0.04,1605637800.0
2020-11-17,1.44,1.44,1.44,1.44,1.439998076090616,20791,3,29939.0,20791.0,100.0,0.0,0.0,1605551400.0
2020-11-14,1.42,1.42,1.42,1.42,1.4190954773869346,995,5,1412.0,995.0,100.0,0.0,0.0,1605292200.0
2020-11-13,1.4,1.4,1.4,1.4,1.3999909216767663,44061,34,61685.0,44061.0,100.0,0.0,0.0,1605205800.0
2020-11-12,1.36,1.38,1.36,1.38,1.3796629426245028,5281,7,7286.0,5281.0,100.0,0.02,0.02,1605119400.0
2020-11-11,1.36,1.36,1.36,1.36,1.359973186354834,13426,11,18259.0,13426.0,100.0,0.0,0.0,1605033000.0
2020-11-10,1.34,1.34,1.34,1.34,1.339988845510318,26895,13,36039.0,26895.0,100.0,0.0,0.0,1604946600.0
2020-11-09,1.32,1.32,1.32,1.32,1.3198458574181116,2076,5,2740.0,2076.0,100.0,0.0,0.0,1604860200.0
2020-11-06,1.3,1.3,1.3,1.3,1.2999534233814625,17176,11,22328.0,17176.0,100.0,0.0,0.0,1604601000.0
2020-11-05,1.28,1.28,1.28,1.28,1.28,5050,5,6464.0,5050.0,100.0,0.0,0.0,1604514600.0
2020-11-04,1.26,1.26,1.26,1.26,1.259736277215578,3261,6,4108.0,3261.0,100.0,0.0,0.0,1604428200.0
2020-11-03,1.24,1.24,1.24,1.24,1.239996269004757,10721,11,13294.0,10721.0,100.0,0.0,0.0,1604341800.0
2020-11-02,1.22,1.22,1.22,1.22,1.2199689533309113,30277,11,36937.0,30277.0,100.0,0.0,0.0,1604255400.0
