Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime
2021-02-08,692.2,694.0,692.2,694.0,692.9534883720929,43,3,29797.0,43,100.0,1.8,1.8,1612722600.0
2021-02-01,665.0,665.0,651.0,661.0,661.0,7,2,4627.0,7,100.0,14.0,-4.0,1612117800.0
2021-01-18,672.0,672.0,672.0,672.0,672.0,3,1,2016.0,3,100.0,0.0,0.0,1610908200.0
2021-01-04,645.0,645.0,640.0,640.0,642.5,4,2,2570.0,4,100.0,5.0,-5.0,1609698600.0
2020-12-21,646.0,646.0,646.0,646.0,646.0,3,2,1938.0,3,100.0,0.0,0.0,1608489000.0
2020-12-01,735.0,735.0,680.0,680.0,702.8,5,5,3514.0,5,100.0,55.0,-55.0,1606761000.0
2020-11-27,700.0,700.0,700.0,700.0,700.0,3,1,2100.0,3,100.0,0.0,0.0,1606415400.0
2020-11-25,605.0,667.85,605.0,667.85,622.9285714285713,14,5,8721.0,14,100.0,62.85,62.85,1606242600.0
2020-07-20,636.0,636.05,636.0,636.05,636.02,50,3,31801.0,50,100.0,0.05,0.05,1595183400.0
2020-07-17,605.8,605.8,605.8,605.8,605.0,1,1,605.0,1,100.0,0.0,0.0,1594924200.0
2020-07-15,577.0,577.0,577.0,577.0,577.0,1,1,577.0,1,100.0,0.0,0.0,1594751400.0
2020-04-27,577.0,577.0,577.0,577.0,577.0,10,1,5770.0,10,100.0,0.0,0.0,1587925800.0
2020-02-03,606.45,606.45,606.45,606.45,606.4,5,1,3032.0,5,100.0,0.0,0.0,1580668200.0
2019-03-05,577.6,577.6,577.6,577.6,577.6,10,1,5776.0,10,100.0,0.0,0.0,1551724200.0
2019-02-04,640.0,640.0,608.0,608.0,626.2857142857143,35,4,21920.0,35,100.0,32.0,-32.0,1549218600.0
2018-12-03,640.0,640.0,640.0,640.0,640.0,10,1,6400.0,10,100.0,0.0,0.0,1543775400.0
2018-09-17,613.0,613.0,613.0,613.0,613.0,40,1,24520.0,40,100.0,0.0,0.0,1537122600.0
2018-09-10,561.0,589.05,561.0,589.05,573.4666666666666,45,2,25806.0,45,100.0,28.05,28.05,1536517800.0
2018-07-18,561.0,561.0,561.0,561.0,561.0,30,1,16830.0,30,100.0,0.0,0.0,1531852200.0
2018-07-11,550.0,550.0,550.0,550.0,550.0,10,1,5500.0,10,100.0,0.0,0.0,1531247400.0
2018-07-06,555.0,560.15,549.2,560.15,554.3714285714285,70,5,38806.0,70,100.0,10.95,5.15,1530815400.0
2018-07-05,549.2,549.2,549.2,549.2,549.2,25,1,13730.0,25,100.0,0.0,0.0,1530729000.0
2018-07-04,538.45,538.45,538.45,538.45,538.4444444444445,135,5,72690.0,135,100.0,0.0,0.0,1530642600.0
2018-07-03,527.9,527.9,527.9,527.9,527.88,25,2,13197.0,25,100.0,0.0,0.0,1530556200.0
2018-07-02,502.8,502.8,502.8,502.8,502.8,5,1,2514.0,5,100.0,0.0,0.0,1530469800.0
2018-06-29,478.9,478.9,478.9,478.9,478.8,5,1,2394.0,5,100.0,0.0,0.0,1530210600.0
2018-06-28,456.1,456.1,456.1,456.1,456.0,5,1,2280.0,5,100.0,0.0,0.0,1530124200.0
2018-06-26,434.4,434.4,434.4,434.4,434.39682539682536,63,3,27367.0,63,100.0,0.0,0.0,1529951400.0
2018-06-25,413.75,413.75,413.75,413.75,413.6,5,1,2068.0,5,100.0,0.0,0.0,1529865000.0
2018-06-22,394.05,394.05,394.05,394.05,394.0,5,1,1970.0,5,100.0,0.0,0.0,1529605800.0
2018-06-21,375.3,375.3,375.3,375.3,375.28,25,1,9382.0,25,100.0,0.0,0.0,1529519400.0
2018-06-20,357.45,357.45,357.45,357.45,357.45,100,4,35745.0,100,100.0,0.0,0.0,1529433000.0
2018-06-19,340.45,340.45,340.45,340.45,340.44,25,1,8511.0,25,100.0,0.0,0.0,1529346600.0
2018-06-18,324.25,324.25,324.25,324.25,324.24,25,1,8106.0,25,100.0,0.0,0.0,1529260200.0
