Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime
2021-04-23,1.52,1.58,1.52,1.58,1.5645,10000,4,15645.0,10000,100.0,0.06,0.06,1619116200.0
2021-04-22,1.55,1.58,1.55,1.55,1.564,4500,10,7038.0,4500,100.0,0.03,0.0,1619029800.0
2021-04-20,1.58,1.58,1.58,1.58,1.58,2900,5,4582.0,2900,100.0,0.0,0.0,1618857000.0
2021-04-19,1.61,1.61,1.61,1.61,1.61,500,1,805.0,500,100.0,0.0,0.0,1618770600.0
2021-04-15,1.64,1.64,1.64,1.64,1.637037037037037,270,2,442.0,270,100.0,0.0,0.0,1618425000.0
2021-04-13,1.67,1.67,1.67,1.67,1.67,500,1,835.0,500,100.0,0.0,0.0,1618252200.0
2021-03-15,1.7,1.7,1.7,1.7,1.69995213020584,10445,4,17756.0,10445,100.0,0.0,0.0,1615746600.0
2021-03-01,1.72,1.72,1.72,1.72,1.72,100,1,172.0,100,100.0,0.0,0.0,1614537000.0
2021-02-15,1.75,1.75,1.75,1.75,1.75,100,2,175.0,100,100.0,0.0,0.0,1613327400.0
2021-02-08,1.75,1.75,1.75,1.75,1.75,10000,2,17500.0,10000,100.0,0.0,0.0,1612722600.0
2021-01-29,1.75,1.75,1.75,1.75,1.7499368208238564,7914,2,13849.0,7914,100.0,0.0,0.0,1611858600.0
2021-01-28,1.72,1.72,1.72,1.72,1.72,2500,1,4300.0,2500,100.0,0.0,0.0,1611772200.0
2021-01-27,1.69,1.69,1.69,1.69,1.69,3200,2,5408.0,3200,100.0,0.0,0.0,1611685800.0
2021-01-25,1.66,1.66,1.66,1.66,1.66,20000,7,33200.0,20000,100.0,0.0,0.0,1611513000.0
2021-01-22,1.63,1.63,1.63,1.63,1.6299857158554003,18202,9,29669.0,18202,100.0,0.0,0.0,1611253800.0
2021-01-21,1.6,1.6,1.6,1.6,1.599961423473816,20738,7,33180.0,20738,100.0,0.0,0.0,1611167400.0
2021-01-20,1.57,1.57,1.57,1.57,1.5698924731182795,372,3,584.0,372,100.0,0.0,0.0,1611081000.0
2021-01-19,1.54,1.54,1.54,1.54,1.538647342995169,414,2,637.0,414,100.0,0.0,0.0,1610994600.0
2021-01-18,1.47,1.47,1.47,1.47,1.4696969696969695,660,3,970.0,660,100.0,0.0,0.0,1610908200.0
2021-01-15,1.4,1.4,1.4,1.4,1.399768250289687,1726,4,2416.0,1726,100.0,0.0,0.0,1610649000.0
2021-01-14,1.34,1.34,1.34,1.34,1.3396787626412847,1681,3,2252.0,1681,100.0,0.0,0.0,1610562600.0
2021-01-13,1.28,1.28,1.28,1.28,1.28,1100,2,1408.0,1100,100.0,0.0,0.0,1610476200.0
2021-01-12,1.22,1.22,1.22,1.22,1.22,1700,3,2074.0,1700,100.0,0.0,0.0,1610389800.0
2021-01-11,1.17,1.17,1.13,1.17,1.1558823529411764,340,3,393.0,340,100.0,0.04,0.0,1610303400.0
2021-01-08,1.12,1.12,1.12,1.12,1.1194029850746268,1474,4,1650.0,1474,100.0,0.0,0.0,1610044200.0
2021-01-07,1.07,1.07,1.07,1.07,1.0698668007036944,3979,6,4257.0,3979,100.0,0.0,0.0,1609957800.0
2021-01-06,1.02,1.02,1.02,1.02,1.0175438596491229,342,2,348.0,342,100.0,0.0,0.0,1609871400.0
2021-01-05,0.98,0.98,0.98,0.98,0.98,100,1,98.0,100,100.0,0.0,0.0,1609785000.0
2021-01-04,0.94,0.94,0.94,0.94,0.9366515837104072,221,3,207.0,221,100.0,0.0,0.0,1609698600.0
2021-01-01,0.9,0.9,0.9,0.9,0.9,100,1,90.0,100,100.0,0.0,0.0,1609439400.0
2020-12-31,0.86,0.86,0.86,0.86,0.86,200,3,172.0,200,100.0,0.0,0.0,1609353000.0
2020-12-30,0.78,0.84,0.78,0.84,0.8245614035087719,114,3,94.0,114,100.0,0.06,0.06,1609266600.0
2020-12-29,0.8,0.8,0.8,0.8,0.8,100,1,80.0,100,100.0,0.0,0.0,1609180200.0
2020-12-28,0.82,0.84,0.82,0.84,0.8174904942965779,263,3,215.0,263,100.0,0.02,0.02,1609093800.0
2020-12-24,0.83,0.86,0.83,0.86,0.8314285714285714,2100,3,1746.0,2100,100.0,0.03,0.03,1608748200.0
