Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500188,HINDZINC,HINDUSTAN ZINC LTD.,12 Sep 2007,Final Dividend - Rs. - 2.5000,-,14 Sep 2007,20 Sep 2007,07 Sep 2007,13 Sep 2007,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,08 Nov 2007,Interim Dividend - Rs. - 2.5000,12 Nov 2007,-,-,05 Nov 2007,09 Nov 2007,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,12 Aug 2008,Final Dividend - Rs. - 2.5000,-,14 Aug 2008,20 Aug 2008,07 Aug 2008,13 Aug 2008,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,29 Jul 2009,Dividend - Rs. - 4.0000,-,31 Jul 2009,06 Aug 2009,24 Jul 2009,30 Jul 2009,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,22 Jul 2010,Dividend - Rs. - 6.0000,-,24 Jul 2010,30 Jul 2010,19 Jul 2010,22 Jul 2010,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,07 Mar 2011,Bonus issue 1:1,08 Mar 2011,-,-,28 Feb 2011,07 Mar 2011,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,07 Mar 2011,Stock  Split From Rs.10/- to Rs.2/-,08 Mar 2011,-,-,28 Feb 2011,07 Mar 2011,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,16 Jun 2011,Dividend - Rs. - 1.0000,-,18 Jun 2011,25 Jun 2011,13 Jun 2011,16 Jun 2011,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,25 Oct 2011,Interim Dividend - Rs. - 1.5000,28 Oct 2011,-,-,20 Oct 2011,26 Oct 2011,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,28 Jun 2012,Final Dividend - Rs. - 0.9000,-,30 Jun 2012,06 Jul 2012,25 Jun 2012,27 Jun 2012,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,23 Oct 2012,Interim Dividend - Rs. - 1.6000,26 Oct 2012,-,-,18 Oct 2012,23 Oct 2012,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,09 May 2013,Final Dividend - Rs. - 1.5000,-,13 May 2013,15 May 2013,07 May 2013,11 May 2013,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,28 Oct 2013,Interim Dividend - Rs. - 1.6000,29 Oct 2013,-,-,22 Oct 2013,28 Oct 2013,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,19 May 2014,Final Dividend - Rs. - 1.9000,-,21 May 2014,24 May 2014,13 May 2014,20 May 2014,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,22 Sep 2014,Interim Dividend - Rs. - 1.9000,23 Sep 2014,-,-,16 Sep 2014,22 Sep 2014,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,12 May 2015,Final Dividend - Rs. - 2.5000,-,14 May 2015,15 May 2015,07 May 2015,13 May 2015,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,23 Oct 2015,Special Dividend - Rs. - 1.9000,26 Oct 2015,-,-,16 Oct 2015,23 Oct 2015,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,23 Oct 2015,Interim Dividend - Rs. - 1.9000,26 Oct 2015,-,-,16 Oct 2015,23 Oct 2015,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,06 Apr 2016,Special Dividend - Rs. - 24.0000,07 Apr 2016,-,-,30 Mar 2016,05 Apr 2016,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,04 Nov 2016,Interim Dividend - Rs. - 1.9000,07 Nov 2016,-,-,30 Oct 2016,04 Nov 2016,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,29 Mar 2017,Special Dividend - Rs. - 27.5000,30 Mar 2017,-,-,23 Mar 2017,29 Mar 2017,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,01 Nov 2017,Interim Dividend - Rs. - 2.0000,02 Nov 2017,-,-,26 Oct 2017,01 Nov 2017,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,23 Mar 2018,Interim Dividend - Rs. - 6.0000,26 Mar 2018,-,-,19 Mar 2018,23 Mar 2018,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,31 Oct 2018,Interim Dividend - Rs. - 20.0000,01 Nov 2018,-,-,25 Oct 2018,31 Oct 2018,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,19 May 2020,Interim Dividend - Rs. - 16.5000,20 May 2020,-,-,13 May 2020,19 May 2020,-
500188,HINDZINC,HINDUSTAN ZINC LTD.,27 Oct 2020,Interim Dividend - Rs. - 21.3000,28 Oct 2020,-,-,21 Oct 2020,27 Oct 2020,-
