Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500410,ACC,ACC LTD.,02 Aug 2007,Interim Dividend - Rs. - 10.0000,03 Aug 2007,-,-,27 Jul 2007,02 Aug 2007,-
500410,ACC,ACC LTD.,10 Apr 2008,Dividend - Rs. - 10.0000,-,12 Apr 2008,24 Apr 2008,07 Apr 2008,10 Apr 2008,-
500410,ACC,ACC LTD.,31 Jul 2008,Interim Dividend - Rs. - 10.0000,01 Aug 2008,-,-,25 Jul 2008,31 Jul 2008,-
500410,ACC,ACC LTD.,24 Mar 2009,Final Dividend - Rs. - 10.0000,-,26 Mar 2009,08 Apr 2009,19 Mar 2009,24 Mar 2009,-
500410,ACC,ACC LTD.,30 Jul 2009,Interim Dividend - Rs. - 10.0000,31 Jul 2009,-,-,24 Jul 2009,30 Jul 2009,-
500410,ACC,ACC LTD.,23 Mar 2010,Final Dividend - Rs. - 13.0000,-,26 Mar 2010,08 Apr 2010,18 Mar 2010,25 Mar 2010,-
500410,ACC,ACC LTD.,28 Jul 2010,Interim Dividend - Rs. - 10.0000,29 Jul 2010,-,-,22 Jul 2010,28 Jul 2010,-
500410,ACC,ACC LTD.,29 Mar 2011,Dividend - Rs. - 13.0000,-,31 Mar 2011,13 Apr 2011,24 Mar 2011,29 Mar 2011,-
500410,ACC,ACC LTD.,29 Mar 2011,Special Dividend - Rs. - 7.5000,-,31 Mar 2011,13 Apr 2011,24 Mar 2011,29 Mar 2011,-
500410,ACC,ACC LTD.,03 Aug 2011,Interim Dividend - Rs. - 11.0000,04 Aug 2011,-,-,28 Jul 2011,03 Aug 2011,-
500410,ACC,ACC LTD.,12 Mar 2012,Final Dividend - Rs. - 17.0000,-,14 Mar 2012,28 Mar 2012,06 Mar 2012,13 Mar 2012,-
500410,ACC,ACC LTD.,01 Aug 2012,Interim Dividend - Rs. - 11.0000,02 Aug 2012,-,-,26 Jul 2012,01 Aug 2012,-
500410,ACC,ACC LTD.,21 Mar 2013,Final Dividend - Rs. - 19.0000,-,23 Mar 2013,05 Apr 2013,18 Mar 2013,21 Mar 2013,-
500410,ACC,ACC LTD.,30 Jul 2013,Interim Dividend - Rs. - 11.0000,31 Jul 2013,-,-,24 Jul 2013,30 Jul 2013,-
500410,ACC,ACC LTD.,24 Mar 2014,Final Dividend - Rs. - 19.0000,-,26 Mar 2014,09 Apr 2014,20 Mar 2014,25 Mar 2014,-
500410,ACC,ACC LTD.,28 Jul 2014,Interim Dividend - Rs. - 15.0000,30 Jul 2014,-,-,22 Jul 2014,28 Jul 2014,-
500410,ACC,ACC LTD.,12 Mar 2015,Final Dividend - Rs. - 19.0000,-,14 Mar 2015,20 Mar 2015,09 Mar 2015,12 Mar 2015,-
500410,ACC,ACC LTD.,22 Jul 2015,Interim Dividend - Rs. - 11.0000,23 Jul 2015,-,-,16 Jul 2015,22 Jul 2015,-
500410,ACC,ACC LTD.,22 Feb 2016,Final Dividend - Rs. - 6.0000,-,24 Feb 2016,29 Feb 2016,16 Feb 2016,23 Feb 2016,-
500410,ACC,ACC LTD.,02 Aug 2016,Interim Dividend - Rs. - 11.0000,03 Aug 2016,-,-,27 Jul 2016,02 Aug 2016,-
500410,ACC,ACC LTD.,16 Mar 2017,Dividend - Rs. - 6.0000,-,20 Mar 2017,24 Mar 2017,10 Mar 2017,17 Mar 2017,-
500410,ACC,ACC LTD.,25 Jul 2017,Interim Dividend - Rs. - 11.0000,26 Jul 2017,-,-,19 Jul 2017,25 Jul 2017,-
500410,ACC,ACC LTD.,17 May 2018,Final Dividend - Rs. - 15.0000,-,21 May 2018,25 May 2018,14 May 2018,18 May 2018,-
500410,ACC,ACC LTD.,05 Mar 2019,Dividend - Rs. - 14.0000,-,07 Mar 2019,12 Mar 2019,27 Feb 2019,06 Mar 2019,-
500410,ACC,ACC LTD.,27 Mar 2020,Final Dividend,30 Mar 2020,-,-,20 Mar 2020,27 Mar 2020,-
500410,ACC,ACC LTD.,19 May 2020,Interim Dividend - Rs. - 14.0000,20 May 2020,-,-,13 May 2020,19 May 2020,-
500410,ACC,ACC LTD.,30 Mar 2021,Final Dividend - Rs. - 14.0000,31 Mar 2021,-,-,23 Mar 2021,26 Mar 2021,-
