Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
501455,GREAVESCOT,GREAVES COTTON LTD.,09 Oct 2007,Final Dividend - Rs. - 1.0000,-,11 Oct 2007,18 Oct 2007,04 Oct 2007,10 Oct 2007,-
501455,GREAVESCOT,GREAVES COTTON LTD.,16 Nov 2007,Interim Dividend - Rs. - 2.0000,19 Nov 2007,-,-,12 Nov 2007,16 Nov 2007,-
501455,GREAVESCOT,GREAVES COTTON LTD.,04 Feb 2008,Interim Dividend - Rs. - 2.0000,05 Feb 2008,-,-,29 Jan 2008,04 Feb 2008,-
501455,GREAVESCOT,GREAVES COTTON LTD.,02 May 2008,Interim Dividend - Rs. - 2.0000,05 May 2008,-,-,25 Apr 2008,02 May 2008,-
501455,GREAVESCOT,GREAVES COTTON LTD.,17 Nov 2008,Interim Dividend - Rs. - 1.5000,18 Nov 2008,-,-,10 Nov 2008,17 Nov 2008,-
501455,GREAVESCOT,GREAVES COTTON LTD.,18 Jun 2009,Interim Dividend - Rs. - 1.5000,20 Jun 2009,-,-,15 Jun 2009,18 Jun 2009,-
501455,GREAVESCOT,GREAVES COTTON LTD.,14 Oct 2009,Final Dividend - Rs. - 1.0000,-,16 Oct 2009,23 Oct 2009,08 Oct 2009,14 Oct 2009,-
501455,GREAVESCOT,GREAVES COTTON LTD.,20 Nov 2009,Interim Dividend - Rs. - 1.0000,23 Nov 2009,-,-,16 Nov 2009,20 Nov 2009,-
501455,GREAVESCOT,GREAVES COTTON LTD.,09 Feb 2010,Interim Dividend - Rs. - 1.5000,10 Feb 2010,-,-,03 Feb 2010,09 Feb 2010,-
501455,GREAVESCOT,GREAVES COTTON LTD.,06 May 2010,Interim Dividend - Rs. - 2.0000,07 May 2010,-,-,30 Apr 2010,06 May 2010,-
501455,GREAVESCOT,GREAVES COTTON LTD.,08 Oct 2010,Final Dividend - Rs. - 3.0000,-,12 Oct 2010,19 Oct 2010,05 Oct 2010,11 Oct 2010,-
501455,GREAVESCOT,GREAVES COTTON LTD.,08 Oct 2010,Special Dividend - Rs. - 7.5000,-,12 Oct 2010,19 Oct 2010,05 Oct 2010,11 Oct 2010,-
501455,GREAVESCOT,GREAVES COTTON LTD.,24 Nov 2010,Interim Dividend - Rs. - 2.0000,25 Nov 2010,-,-,18 Nov 2010,24 Nov 2010,-
501455,GREAVESCOT,GREAVES COTTON LTD.,24 Nov 2010,Stock  Split From Rs.10/- to Rs.2/-,25 Nov 2010,-,-,18 Nov 2010,24 Nov 2010,-
501455,GREAVESCOT,GREAVES COTTON LTD.,04 Feb 2011,Interim Dividend - Rs. - 0.4000,07 Feb 2011,-,-,31 Jan 2011,04 Feb 2011,-
501455,GREAVESCOT,GREAVES COTTON LTD.,22 Jul 2011,Final Dividend - Rs. - 0.7000,-,26 Jul 2011,27 Jul 2011,19 Jul 2011,25 Jul 2011,-
501455,GREAVESCOT,GREAVES COTTON LTD.,07 Sep 2011,Interim Dividend - Rs. - 0.4000,08 Sep 2011,-,-,30 Aug 2011,07 Sep 2011,-
